freq	dB(S(2,1))
2.00000000000000000E9	-6.72308155011188902E-2
2.02499999999999991E9	-5.46281822275767048E-2
2.04999999999999982E9	-4.29818380503867736E-2
2.07500000000000018E9	-3.24281638534926975E-2
2.10000000000000009E9	-2.31066122152282727E-2
2.12500000000000000E9	-1.51591465871747633E-2
2.14999999999999991E9	-8.72961120850936645E-3
2.17499999999999982E9	-3.96303213164549684E-3
2.20000000000000018E9	-1.00485110359179663E-3
2.22500000000000009E9	-9.55720376651801651E-8
2.25000000000000000E9	-1.09248973747987721E-3
2.27499999999999991E9	-4.42351331855834840E-3
2.29999999999999982E9	-1.01314164892012659E-2
2.32500000000000018E9	-1.83502012292495498E-2
2.35000000000000009E9	-2.92085810387461065E-2
2.37500000000000000E9	-4.28289325318940950E-2
2.39999999999999991E9	-5.93262537749869701E-2
2.42499999999999982E9	-7.88071452911180881E-2
2.45000000000000018E9	-1.01368830353892547E-1
2.47500000000000009E9	-1.27098231473778434E-1
2.50000000000000000E9	-1.56071119796403512E-1
2.52499999999999991E9	-1.88351353454118797E-1
2.54999999999999982E9	-2.23990219730962092E-1
2.57500000000000018E9	-2.63025894231054780E-1
2.60000000000000009E9	-3.05483028119803368E-1
2.62500000000000000E9	-3.51372471996559366E-1
2.64999999999999991E9	-4.00691142137507050E-1
2.67499999999999982E9	-4.53422031818230931E-1
2.70000000000000018E9	-5.09534367294634638E-1
2.72500000000000009E9	-5.68983904905915239E-1
2.75000000000000000E9	-6.31713362777671783E-1
2.77499999999999991E9	-6.97652977854897038E-1
2.79999999999999982E9	-7.66721176577924091E-1
2.82500000000000018E9	-8.38825345505407505E-1
2.85000000000000009E9	-9.13862686642616850E-1
2.87500000000000000E9	-9.91721141182086896E-1
2.89999999999999991E9	-1.07228036481543976E0
2.92499999999999982E9	-1.15541273771519326E0
2.95000000000000018E9	-1.24098439268051219E0
2.97500000000000009E9	-1.32885624573955452E0
3.00000000000000000E9	-1.41888501464203176E0
3.02499999999999991E9	-1.51092421208745975E0
3.04999999999999982E9	-1.60482510214487473E0
3.07500000000000018E9	-1.70043761005492322E0
3.10000000000000009E9	-1.79761117739647558E0
3.12500000000000000E9	-1.89619555638582127E0
3.14999999999999991E9	-1.99604153880237756E0
3.17499999999999982E9	-2.09700161665894402E0
3.20000000000000018E9	-2.19893057322114682E0
3.22500000000000009E9	-2.30168600430845993E0
3.25000000000000000E9	-2.40512877096244093E0
3.27499999999999991E9	-2.50912338554145098E0
3.29999999999999982E9	-2.61353833409601854E0
3.32500000000000018E9	-2.71824633850226194E0
3.35000000000000009E9	-2.82312456229321640E0
3.37500000000000000E9	-2.92805476444490731E0
3.39999999999999991E9	-3.03292340556015239E0
3.42499999999999982E9	-3.13762171096772047E0
3.45000000000000018E9	-3.24204569523320796E0
3.47500000000000009E9	-3.34609615247891190E0
3.50000000000000000E9	-3.44967861674829379E0
3.52499999999999991E9	-3.55270329644149019E0
3.54999999999999982E9	-3.65508498660406955E0
3.57500000000000018E9	-3.75674296258399254E0
3.60000000000000009E9	-3.85760085829097132E0
3.62500000000000000E9	-3.95758653200590604E0
3.64999999999999991E9	-4.05663192240348991E0
3.67499999999999982E9	-4.15467289717240718E0
3.70000000000000018E9	-4.25164909635030419E0
3.72500000000000009E9	-4.34750377223647977E0
3.75000000000000000E9	-4.44218362750726481E0
3.77499999999999991E9	-4.53563865293803659E0
3.79999999999999982E9	-4.62782196593246464E0
3.82500000000000018E9	-4.71868965087449865E0
3.85000000000000009E9	-4.80820060215047906E0
3.87500000000000000E9	-4.89631637053891922E0
3.89999999999999991E9	-4.98300101353086156E0
3.92499999999999982E9	-5.06822095002523021E0
3.95000000000000018E9	-5.15194481973914176E0
3.97500000000000009E9	-5.23414334758229849E0
4.00000000000000000E9	-5.31478921316535402E0
4.02500000000000036E9	-5.39385692554474883E0
4.04999999999999982E9	-5.47132270324820258E0
4.07500000000000018E9	-5.54716435957656628E0
4.09999999999999964E9	-5.62136119313656124E0
4.12500000000000000E9	-5.69389388352520776E0
4.15000000000000036E9	-5.76474439205909928E0
4.17499999999999982E9	-5.83389586741959842E0
4.20000000000000018E9	-5.90133255606755558E0
4.22499999999999964E9	-5.96703971726788396E0
4.25000000000000000E9	-6.03100354255477100E0
4.27500000000000036E9	-6.09321107946136031E0
4.29999999999999982E9	-6.15365015933398407E0
4.32500000000000018E9	-6.21230932904875921E0
4.34999999999999964E9	-6.26917778644860491E0
4.37500000000000000E9	-6.32424531932000811E0
4.40000000000000036E9	-6.37750224773164565E0
4.42499999999999982E9	-6.42893936956064227E0
4.45000000000000018E9	-6.47854790903677014E0
4.47499999999999964E9	-6.52631946814016217E0
4.50000000000000000E9	-6.57224598069368415E0
4.52500000000000036E9	-6.61631966899720592E0
4.54999999999999982E9	-6.65853300285731287E0
4.57500000000000018E9	-6.69887866087235651E0
4.59999999999999964E9	-6.73734949383970960E0
4.62500000000000000E9	-6.77393849015813210E0
4.65000000000000036E9	-6.80863874310547246E0
4.67499999999999982E9	-6.84144341987786309E0
4.70000000000000018E9	-6.87234573228373780E0
4.72499999999999964E9	-6.90133890899195190E0
4.75000000000000000E9	-6.92841616924004899E0
4.77500000000000036E9	-6.95357069791465587E0
4.79999999999999982E9	-6.97679562192255531E0
4.82500000000000018E9	-6.99808398777670870E0
4.84999999999999964E9	-7.01742874032777042E0
4.87500000000000000E9	-7.03482270257747455E0
4.90000000000000036E9	-7.05025855651624145E0
4.92499999999999982E9	-7.06372882493314780E0
4.95000000000000018E9	-7.07522585415235294E0
4.97499999999999964E9	-7.08474179765600809E0
5.00000000000000000E9	-7.09226860055945263E0
5.02500000000000036E9	-7.09779798491083902E0
5.04999999999999982E9	-7.10132143579331832E0
5.07500000000000018E9	-7.10283018821438095E0
5.09999999999999964E9	-7.10231521477345229E0
5.12500000000000000E9	-7.09976721410606260E0
5.15000000000000036E9	-7.09517660010956508E0
5.17499999999999982E9	-7.08853349196363069E0
5.20000000000000018E9	-7.07982770496644598E0
5.22499999999999964E9	-7.06904874221641943E0
5.25000000000000000E9	-7.05618578717846390E0
5.27500000000000036E9	-7.04122769718394270E0
5.29999999999999982E9	-7.02416299792440579E0
5.32500000000000018E9	-7.00497987901102626E0
5.34999999999999964E9	-6.98366619068467553E0
5.37500000000000000E9	-6.96020944177583623E0
5.40000000000000036E9	-6.93459679902904647E0
5.42499999999999982E9	-6.90681508792418608E0
5.45000000000000018E9	-6.87685079514541808E0
5.47499999999999964E9	-6.84469007287020936E0
5.50000000000000000E9	-6.81031874507374990E0
5.52500000000000036E9	-6.77372231607023068E0
5.54999999999999982E9	-6.73488598154118812E0
5.57500000000000018E9	-6.69379464233287180E0
5.59999999999999964E9	-6.65043292134038566E0
5.62500000000000000E9	-6.60478518383575164E0
5.65000000000000036E9	-6.55683556164131343E0
5.67499999999999982E9	-6.50656798159856553E0
5.70000000000000018E9	-6.45396619883779366E0
5.72499999999999964E9	-6.39901383541416813E0
5.75000000000000000E9	-6.34169442494417801E0
5.77500000000000036E9	-6.28199146395190233E0
5.79999999999999982E9	-6.21988847071826179E0
5.82500000000000018E9	-6.15536905252061750E0
5.84999999999999964E9	-6.08841698225343375E0
5.87500000000000000E9	-6.01901628553688361E0
5.90000000000000036E9	-5.94715133954798425E0
5.92499999999999982E9	-5.87280698495115683E0
5.95000000000000018E9	-5.79596865246199222E0
5.97499999999999964E9	-5.71662250575174369E0
6.00000000000000000E9	-5.63475560259052699E0
6.02500000000000036E9	-5.55035607633752903E0
6.04999999999999982E9	-5.46341334011588842E0
6.07500000000000018E9	-5.37391831626002414E0
6.09999999999999964E9	-5.28186369389562405E0
6.12500000000000000E9	-5.18724421780473754E0
6.15000000000000036E9	-5.09005701204357397E0
6.17499999999999982E9	-4.99030194211381684E0
6.20000000000000018E9	-4.88798201983962421E0
6.22499999999999964E9	-4.78310385546673444E0
6.25000000000000000E9	-4.67567816187122975E0
6.27500000000000036E9	-4.56572031613545271E0
6.29999999999999982E9	-4.45325098410482578E0
6.32500000000000018E9	-4.33829681386600630E0
6.34999999999999964E9	-4.22089120436241938E0
6.37500000000000000E9	-4.10107515556035285E0
6.40000000000000036E9	-3.97889820666075300E0
6.42499999999999982E9	-3.85441946877452102E0
6.45000000000000018E9	-3.72770875818489333E0
6.47499999999999964E9	-3.59884783573975353E0
6.50000000000000000E9	-3.46793175696415545E0
6.52500000000000036E9	-3.33507033605667047E0
6.54999999999999982E9	-3.20038972491135842E0
6.57500000000000018E9	-3.06403410555023115E0
6.59999999999999964E9	-2.92616749070123960E0
6.62500000000000000E9	-2.78697562253971576E0
6.65000000000000036E9	-2.64666795364326823E0
6.67499999999999982E9	-2.50547968680995004E0
6.70000000000000018E9	-2.36367384138837533E0
6.72499999999999964E9	-2.22154330304140579E0
6.75000000000000000E9	-2.07941280135616413E0
6.77500000000000036E9	-1.93764074547946352E0
6.79999999999999982E9	-1.79662083222620605E0
6.82500000000000018E9	-1.65678332432970787E0
6.84999999999999964E9	-1.51859587942873797E0
6.87500000000000000E9	-1.38256379413067965E0
6.90000000000000036E9	-1.24922951358919887E0
6.92499999999999982E9	-1.11917124747130914E0
6.95000000000000018E9	-9.93000530369671885E-1
6.97499999999999964E9	-8.71358571372361546E-1
7.00000000000000000E9	-7.54911256485450721E-1
7.02500000000000036E9	-6.44342701558567210E-1
7.04999999999999982E9	-5.40347304278309792E-1
7.07500000000000018E9	-4.43620312440520248E-1
7.09999999999999964E9	-3.54847011047095595E-1
7.12500000000000000E9	-2.74690729398050548E-1
7.15000000000000036E9	-2.03779975176304751E-1
7.17499999999999982E9	-1.42695106796627824E-1
7.20000000000000018E9	-9.19550471236532729E-2
7.22499999999999964E9	-5.20046091324265980E-2
7.25000000000000000E9	-2.32030358476142595E-2
7.27500000000000036E9	-5.81434411696342046E-3
7.29999999999999982E9	6.82743846319700420E-13
7.32500000000000018E9	-5.81434411696631681E-3
7.34999999999999964E9	-2.32030358476084597E-2
7.37500000000000000E9	-5.20046091324217397E-2
7.40000000000000036E9	-9.19550471236493649E-2
7.42499999999999982E9	-1.42695106796628801E-1
