freq	dB(S(2,1))
2.00000000000000000E9	-2.27068875025295158E0
2.02499999999999991E9	-2.29944251160563917E0
2.04999999999999982E9	-2.32389290309835195E0
2.07500000000000018E9	-2.34381534664176128E0
2.10000000000000009E9	-2.35898864909808648E0
2.12500000000000000E9	-2.36919521766836239E0
2.14999999999999991E9	-2.37422136190947608E0
2.17499999999999982E9	-2.37385771404951740E0
2.20000000000000018E9	-2.36789980484585971E0
2.22500000000000009E9	-2.35614883911738504E0
2.25000000000000000E9	-2.33841272356492968E0
2.27499999999999991E9	-2.31450740990334314E0
2.29999999999999982E9	-2.28425862903959365E0
2.32500000000000018E9	-2.24750410746589147E0
2.35000000000000009E9	-2.20409637564826433E0
2.37500000000000000E9	-2.15390630043898046E0
2.39999999999999991E9	-2.09682749984333405E0
2.42499999999999982E9	-2.03278182911565608E0
2.45000000000000018E9	-1.96172616215642837E0
2.47500000000000009E9	-1.88366073103932896E0
2.50000000000000000E9	-1.79863932784857350E0
2.52499999999999991E9	-1.70678171407746215E0
2.54999999999999982E9	-1.60828861864450312E0
2.57500000000000018E9	-1.50345972780382064E0
2.60000000000000009E9	-1.39271506569282755E0
2.62500000000000000E9	-1.27662011302200651E0
2.64999999999999991E9	-1.15591488453164026E0
2.67499999999999982E9	-1.03154694331248264E0
2.70000000000000018E9	-9.04707919843755271E-1
2.72500000000000009E9	-7.76872463429546301E-1
2.75000000000000000E9	-6.49837619197596261E-1
2.77499999999999991E9	-5.25759346845967990E-1
2.79999999999999982E9	-4.07181280550694247E-1
2.82500000000000018E9	-2.97048980731798640E-1
2.85000000000000009E9	-1.98701132060591701E-1
2.87500000000000000E9	-1.15827928118712276E-1
2.89999999999999991E9	-5.23870481599827542E-2
2.92499999999999982E9	-1.24701372389106591E-2
2.95000000000000018E9	-1.18369700647708176E-4
2.97500000000000009E9	-1.90946643274957983E-2
3.00000000000000000E9	-7.26313163347063373E-2
3.02499999999999991E9	-1.63182526085115009E-1
3.04999999999999982E9	-2.92217712411741104E-1
3.07500000000000018E9	-4.60090054353703870E-1
3.10000000000000009E9	-6.66004057812555761E-1
3.12500000000000000E9	-9.08088223811844308E-1
3.14999999999999991E9	-1.18355928872561478E0
3.17499999999999982E9	-1.48894905741675965E0
3.20000000000000018E9	-1.82035773418010605E0
3.22500000000000009E9	-2.17369959005508706E0
3.25000000000000000E9	-2.54491536665384377E0
3.27499999999999991E9	-2.93013713248527585E0
3.29999999999999982E9	-3.32580187804192251E0
3.32500000000000018E9	-3.72871788275841398E0
3.35000000000000009E9	-4.13609225609341724E0
3.37500000000000000E9	-4.54552953516118041E0
3.39999999999999991E9	-4.95501074033791333E0
3.42499999999999982E9	-5.36286076917586030E0
